Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Bobbi Brown,Hydrating Face Cream Moisturizer,['A light moisturizing cream that leaves skin healthy and prepared for a seamless makeup application.'],[],[],"['Water, Dimethicone, Butylene Glycol, Cetyl Alcohol, Ethylhexyl Palmitate, Caprylic/Capric/Myristic/Stearic Triglyceride, Aleurites Moluccana (Kukui) Seed Oil, Myristyl Myristate, Glyceryl Stearate, Algae Extract, Cetyl Phosphate, Polyperfluoromethylisopropyl Ether, Coriandrum Sativum (Coriander) Seed Oil, Rosmarinus Officinalis (Rosemary), Rosa Canina (Rose) Fruit Oil, Elettaria Cardamomum (Cardamom), Lavandula Angustifolia (Lavender), Jasminum Officinale (Jasmine), Tocopheryl Acetate, Cholesterol, Linoleic Acid, Trehalose, Glycerin, Caffeine, Peg-10 Dimethicone, Myristyl Laurate, Phytantriol, Acrylates Copolymer, Lecithin, Sodium Acrylates/Acrylonitrogens Copolymer, Phytosphingosine, Propylene Glycol Stearate, Sodium Hyaluronate, Polysorbate 20, Caprylyl Glycol, Sorbitan Laurate, Myristyl Alcohol, Propylene Glycol Laurate, Tocopherol, Glycine, Sodium Hydroxide, Carbomer, Hydroxyproline, Proline, Citric Acid, Hexylene Glycol, Disodium Edta, Phenoxyethanol']",https://www.sephora.com/product/hydrating-face-cream-P270543?icid2=similar%20products:p270543:product
Laura Mercier,Flawless Skin Mega Moisturizer SPF 15 - Normal/Combination Skin,A moisturizing cream that hydrates soothes and protects normal to combination skin.,[],[],"-Octinoxate 7.5%,- Avobenzone 2.0%,,Allantoin, Sodium Ascorbate, Phenoxyethanol, Methylparaben, Tetrasodium EDTA, Carbomer, Isopropylparaben, Isobutylparaben, Butylparaben, Sodium Dehydroacetate, Aminomethyl Propanol, Linalool, Propylparaben, Acrylates/C10-C30 Alkyl Acrylate Crosspolymer.",https://www.sephora.com/product/flawless-skin-mega-moisturizer-spf-15-normal-combination-skin-P281201?icid2=similar%20products:p281201:product
KAPLAN MD,Daily Moisture SPF 30 Concentrate,A lightweight antiaging moisturizer that combats free radicals reduces the appearance of fine lines and wrinkles and provides SPF 30 sun protection.,[],[],"-22 USDA Certified Organic Extracts: Provide exceptional skin nourishing, soothing, and smoothing benefits.,-Matrixyl Synth'6 (FDA-approved peptide): Supports natural collagen synthesis to increase the appearance of skin firmness and elasticity.,-SmartVectorUV: Protects the integrity of the sunscreen until you are exposed to sunlight, providing longer lasting sun protection.,-Micronized Titanium Dioxide 7%: A physical sunscreen that provides broad spectrum UVA/UVB sun protection.,,Purified Water, Cyclopentasiloxane, Dicapryl Maleate, Polyglyceryl-3, Polymethylsiloxyethyldimethicone, Aluminum Hydroxide, Stearic Acid, Butylene Glycol, Butyrospermum Parkii (Shea Butter), Cathamus Tinctorius (Safflower) Oleosomes, Peg-10/15 Dimethicone/Vinyl Dimethicone Crosspolymer, Caprylic/Capric Triglycerides, Geranylgeranylisopropanol, Helianthus Annuus (Sunflower) Seed Oil, Palmitoyl Tetrapeptide-38, Rhodendron Ferrugineum (Alp Rose) Leaf Cell Culture Extract, Malus Domestica (Swiss Apple) Fruit Cell Culture Extract, Vitis Vinifera (Gamay Teinturier Fréaux Grape) Fruit Cell Extract, Sambucus Nigra (Elderflower) Extract*, Melissa Officinalis (Lemon Balm) Extract*, Equisetum Arvense (Horsetail) Extract*, Ginkgo Biloba Extract*, Panax Ginseng Root Extract*, Camellia Sinensis (Green Tea) Leaf Extract*, Trifolium Pratense (Red Clover) Extract*, Althaea Officinalis Root Extract*, Rosa Canina Fruit (Rose Hips) Extract*, Aloe Barbadensis Leaf Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Borago Officinalis (Borage) Extract*, Pelargonium Graveolens (Rose Geranium) Extract*, Humulus Lupulus (Hops) Extract*, Rosmarinus Officinalis (Rosemary) Extract*, Macrocystis Pyrifera (Kelp) Extract*, Ilex Paraguensis (Yerba Mate) Leaf Extract*, Citrus Grandis (Grapefruit) Fruit Extract*, Camellia Sinensis (White Tea) Extract*, Fucus Vesiculosus (Seaweed) Extract*, Mentha Piperita (Peppermint) Extract*, Lavandula Intermedia (Lavender) Extract*, Pentaerythrityl Tetraisostearate, DNA, Soy Isoflavones, Glycerin, C20-22 Alkyl Phosphate, C20-22 Alcohols, Glyceryl Stearate, Peg-100 Stearate, Hydrogenated Lecithin, Sodium Dihydroxycetyl Phosphate, Silica, Hydroxypropyl Cyclodextrin, Lecithin, Polysorbate 80, Carbomer, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Xanthan Gum, Magnesium Aluminum Silicate, Silica Dimethyl Silylate, Sodium Chondroitin Sulfate, Dipotassium Glycyrrhizate, Isomalt, Sodium Benzoate, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin, Lactic Acid, Atelocollagen, Panthenol.,,*USDA National Organic Program Certified Organic Extracts.",https://www.sephora.com/product/daily-moisture-spf-30-concentrate-P392460?icid2=similar%20products:p392460:product
Perricone MD,Multi-Action Overnight Intensive Firming Mask,A luxurious multi-benefit cream fights fine lines and wrinkles at night to firm tone and tighten skin’s appearance.,['- Dryness- Fine lines and wrinkles'], This luxurious overnight treatment cream provides intense moisturizing and restorative benefits that help reduce the appearance of fine lines and wrinkles while promoting elasticity. Antiaging hydrating benefits are delivered at night as skin goes through its natural regeneration process to nourish the complexion when it needs it most and help soothe support and revitalize.  A proprietary blend of Dr. Perricone’s patented sciences combined with natural ingredients firms tones and tightens skin’s appearance minimizing visible imperfections.,"-PHOS-E: Helps to soothe, restore, and revitalize dry, dehydrated skin.,-DMAE: Firms, tones, and tightens skin’s appearance for a more chiseled, youthful look.,-Alpha Lipoic Acid: Minimizes skin’s visible imperfections such as fine lines, wrinkles and enlarged pores, while improving skin texture.,,Water, Squalane, Caprylic/Capric Triglyceride, Isopropyl Palmitate, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Kernel Oil, Dimethyl MEA, Glyceryl Stearate, PEG-100 Stearate, Citric Acid, Thioctic Acid, Phosphatidylcholine, Egg Shell Membrane Extract, S-Palmitoylglutathione, Butyrospermum Parkii (Shea) Butter, Acetyl Tyrosine, Xanthan Gum, Zinc Gluconate, Magnesium Aspartate, Copper Gluconate, Disodium EDTA, Dimethicone, Cetearyl Glucoside, Ceteareth-20, Caprylyl Glycol, Cetyl Alcohol, Phenoxyethanol, Sorbic Acid, Fragrance, Citronellol, Benzyl Benzoate, Hexyl Cinnamal, Linalool.",https://www.sephora.com/product/multi-action-overnight-treatment-P412305?icid2=similar%20products:p412305:product
Clarins,Multi Active Day Cream - All Skin Types,A radiance-making moisturizer with revitalizing teasel extract to fight the effects of daytime stress for glowing healthy-looking skin. ,['- Fine lines and wrinkles- Dullness and uneven texture- Dryness'],This luxurious cream formula minimizes the appearance of fine lines and boosts skin’s radiance. It contains Clarins’ exclusive anti-pollution complex and is powered by teasel extract to deliver targeted invigorating and antioxidant action exactly where your skin needs it most. Great for all skin types it leaves the complexion smoother brighter and more hydrated.,"-Teasel Extract: Helps prevent visible fine lines and wrinkles caused by a stressful lifestyle.,-Myrothamnus Extract: Fights the effects of daytime stress, to help visibly minimize fine lines and boost radiance.,,Water, Caprylic/Capric Triglyceride, Propanediol, Glycerin, Cetearyl Isononanoate, Cellulose, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Fragrance, Dipsacus Sylvestris Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ci 77891/Titanium Dioxide, Synthetic Fluorphlogopite, Ethylhexylglycerin, Ppg-5-Ceteth-20, Tocopheryl Acetate, Tromethamine, Sodium Hyaluronate, Citric Acid, Butylene Glycol, Diospyros Mespiliformis Leaf Extract, Maltodextrin, Disodium Edta, Sanicula Europaea Extract, Myrothamnus Flabellifolia Extract, Lapsanacommunis Flower/Leaf/Stem Extract, Furcellaria Lumbricalis Extract, Sodium Citrate, Potassium Sorbate, Ascorbic Acid, Ci 14700/Red 4, Glycolic Acid, Lactic Acid, Maris Sal/Sea Salt/Sel Marin, Polyvinyl Alcohol, Ci 17200/Red 33, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate.",https://www.sephora.com/product/multi-active-jour-P406943?icid2=similar%20products:p406943:product
Drunk Elephant,Protini™ Polypeptide Cream,A protein moisturizer that combines an unprecedented array and concentration of actives for improvement in the appearance of skin’s tone texture and firmness.,['- Loss of firmness and elasticity\xa0- Dryness\xa0- Dullness and uneven texture\xa0 '],[],"-9 Signal Peptide Complex ,-Pygmy Waterlily Stem Cell Extract ,-Soybean Folic Acid Ferment Extract ,,Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract, Nymphaea Alba Root Extract, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Alanine, Arginine, Glycine, Histidine, Isoleucine, Phenylalanine, Proline, Serine, Threonine, Valine, Acetyl Glutamine, Coconut Alkanes , Coco-Caprylate/Caprate, Sodium Hyaluronate, Aspartic Acid, Linoleic Acid, Linolenic Acid, Lecithin, Butylene Glycol, Polyvinyl Alcohol, Sodium Lactate, Sodium PCA, PCA, Sorbitan Isostearate, Carbomer, Polysorbate 20, Polysorbate 60, Lactic Acid/Glycolic Acid Copolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Isomalt, 1,2-Hexanediol, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Tocopherol, Sodium Benzoate, Phenylpropanol, Glyceryl Caprylate, Symphytum Officinale Callus Culture Extract.",https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?icid2=you%20may%20also%20like:p427421:product
Algenist,SUBLIME Optical Illuminating Moisturizer,A glowtion that addresses dull uneven skin with a soft-focus luminizing effect and instantly brightens and refines for an allover youthful glow.,['- Dullness and uneven skintone- Fine lines and wrinkles'], This luminous moisturizer captures and diffuses light to provide an immediate soft-focus strobing effect on the skin. Perfecting pigments blur imperfections while a diamond peptide blend helps delay the visible signs of aging and minimizes the appearance of skin damage from free radicals. Use underneath makeup for an overall smooth radiant glow or apply over makeup in targeted areas for a highlighted finish.,"-Alguronic Acid: Reduces the appearance of fine lines and wrinkles and brightens the overall appearance of skin.,-Diamond Peptide: Provides targeted peptide application to minimize the appearance of free radical damage of the skin and help delay visible signs of aging.,-Vitamin B3 and Vitamin C: Moisturize and nourish skin.,-Mica and Skin-perfecting Pigments: Create lustrous and opalescent effects, giving skin a natural-looking, radiant glow.,,Water, Butyrospermum Parkii (Shea) Butter, Isostearyl Neopentanoate, Glycerin, Butylene Glycol, Cetearyl Alcohol, Dimethicone, Neopentyl Glycol Diheptanoate, Sorbitan Stearate, Glyceryl Stearate, PEG- 100 Stearate, Di-C12-15 Alkyl Fumarate, Pentylene Glycol, Parachlorella Beijerinckii Exopolysaccharides, Halidrys Siliquosa Extract, Orthosiphon Stamineus Extract, Carthamus Tinctorius (Safflower) Flower Extract, Gastrodia Elata Root Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Lycium Chinense Fruit Extract, Paeonia Suffruticosa Root Extract, Panax Ginseng Root Extract, Panax Notoginseng Root Extract, Poria Cocos Extract, Salvia Miltiorrhiza Root Extract, Scutellaria Baicalensis Extract, Diamond Powder, Ascorbyl Palmitate, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Acetyl sh-Pentapeptide-35, Silica, Niacinamide, Synthetic Fluorphlogopite, Mica, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminomethyl Propanol, Cetyl Alcohol, Polymethylsilsesquioxane, Sodium Stearoyl Glutamate, Adenosine, Hexylene Glycol, Sodium Lactate, Disodium EDTA, Xanthan Gum, Ethylhexylglycerin, Sodium PCA, Propanediol, Maltodextrin, Tin Oxide, Caprylyl Glycol, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Fragrance (Parfum), Butylphenyl Methylpropional, Blue 1 (CI 42090), Red 33 (CI 17200), Titanium Dioxide (CI 77891).",https://www.sephora.com/product/sublime-optical-illuminating-moisturizer-P410237?icid2=you%20may%20also%20like:p410237:product
Urban Decay,24/7 Glide-On Eye Pencil,[' A dynamic eyeliner pencil in a rainbow of shades.'],[],[],"-Vitamin E: Hydrates, moisturizes, and conditions the lash line.,-Jojoba Oil and Cottonseed Oil: Condition and soften the skin.",https://www.sephora.com/product/24-7-glide-on-eye-pencil-P133707?icid2=you%20may%20also%20like:p133707:product
stila,Stay All Day® Waterproof Liquid Eye Liner,[],[],[],,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=you%20may%20also%20like:p253818:product
NARS,Radiant Creamy Concealer,An award-winning concealer that provides medium-to-full buildable coverage and corrects contours highlights and perfects.,[],[],,https://www.sephora.com/product/radiant-creamy-concealer-P377873?icid2=you%20may%20also%20like:p377873:product
Kat Von D,Tattoo Liner,A liquid eyeliner with an innovative brush tip for effortless precise application.,[],[],,https://www.sephora.com/product/tattoo-liner-P245205?icid2=you%20may%20also%20like:p245205:product
Algenist,Advanced Anti-Aging Repairing Oil,[' A powerful treatment that performs like an antiaging serum with the luxurious experience of an oil. '],['- Fine lines and wrinkles- Dryness- Dullness and uneven texture'], The quick-absorbing non-greasy benefits of the Advanced Anti-Aging Repairing Oil instantly replenish skin with essential moisture while working to reduce the appearance of fine lines and wrinkles a dull complexion and rough skin texture. Formulated with microalgae oil ceramides and brown algae extract the oil visibly restores elasticity firmness and suppleness while giving skin the appearance of a fresh dewy and youthful glow.  ,"-Microalgae Oil: Improves the appearance of firmness for visibly smooth and toned skin.,-Ceramides: Retain and balance natural moisture levels, increase water-retention capacity, and reduce the appearance of fine lines and wrinkles by supporting skin’s natural lipid barrier.,-Brown Algae Extract: Restores skin’s firmness and elasticity and visibly reduces the number and depth of wrinkles.,-Rosemary Extract and Sunflower Seed Oil: Protect skin from free-radical damage with a natural antioxidant complex.,,Chlorella Protothecoides Oil, Cetearyl Ethylhexanoate, Isopropyl Isostearate, Caprylic/Capric Triglyceride, Ceramide 3, Alaria Esculenta Extract, Retinyl Palmitate, Tocopherol, Rosmarinus Officinalis Leaf Extract, Helianthus Annuus Seed Oil, Cymbopogon Martini Oil, Geraniol.",https://www.sephora.com/product/advanced-anti-aging-repairing-oil-P379907?icid2=you%20may%20also%20like:p379907:product
Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,A rich fast-absorbing eye cream that visibly smooths and firms lids crow’s feet and under eye wrinkles. ,['- Fine lines and wrinkles- Dryness'],[],"-WrinkleResist24 (Chlorella Extract, Mukurossi Extract, and Gambir Extract): Helps reduce the appearance of wrinkles.,-Super Bio-hyaluronic Acid and Hydroxyproline: Help improve the look of wrinkles.,-Burnet Extract: Helps improve the look of firmness.,,Water, Hydrogenated Polydecene, Mineral Oil (Paraffinum Liquidum), Glycerin, Petrolatum, Butylene Glycol, Paraffin, Polyglyceryl-2 Diisostearate, Squalane, Glyceryl Oleate, Sodium Glutamate, Sodium Pca, Dipropylene Glycol, Beeswax (Cera Alba), Microcrystalline Wax (Cera Microcristallina), Polyethylene, Methylparaben, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Fragrance (Parfum), Trisodium Edta, Tocopheryl Acetate, Alcohol, Tocopherol, Iron Oxides (Ci 77492), Butylphenyl Methylpropional, Sapindus Mukurossi Peel Extract (Sapindus Mukurossi), Limonene, Linalool, Citronellol, Alpha-Isomethyl Ionone, Geraniol, Uncaria Gambir Extract (Uncaria Gambir), Benzyl Benzoate, Hexyl Cinnamal, Sanguisorba Officinalis Root Extract, Sodium Acetylated Hyaluronate, Hydroxyproline, Iron Oxides (Ci 77491), Chlorella Vulgaris Extract, Bht.",https://www.sephora.com/product/benefiance-wrinkleresist24-intensive-eye-contour-cream-P173620?icid2=you%20may%20also%20like:p173620:product
Algenist,SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,An ultra-sheer weightless fluid for everyday protection against broad-spectrum UVA/UVB damage.,[],[],"-Octinoxate 7.5%: Sunscreen.,-Titanium Dioxide 2%: Sunscreen.,-Zinc Oxide 17.1%: Sunscreen.,,Cyclopentasiloxane, Water, Alcohol Denat., Glycerin, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Methyl Methacrylate Crosspolymer, PEG/PPG-18/18 Dimethicone, Algae Exopolysaccharides, Echinacea Purpurea Extract, Tocopheryl Acetate, Camellia Oleifera Leaf Extract, Arctostaphylos Uva Ursi Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, PEG-9 Polydimethylsiloxyethyl Dimethicone, Stearic Acid, Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone, Ethylhexylglycerin, Caprylyl Glycol, Aluminum Hydroxide, Phenoxyethanol, Hexylene Glycol, Fragrance.",https://www.sephora.com/product/sublime-defense-ultra-lightweight-uv-defense-fluid-spf-50-P311143?icid2=you%20may%20also%20like:p311143:product
Benefit Cosmetics,They’re Real! Lengthening & Volumizing Mascara,"A lengthening mascara that curls volumizes lifts and separates lashes for an ""out-of-here"" look—now available in two vibrant shades.",[],[],,https://www.sephora.com/product/they-re-real-lengthening-volumizing-mascara-P289307?icid2=you%20may%20also%20like:p289307:product
OLEHENRIKSEN,Truth Serum®,[' A powerful antiaging serum formulated with vitamin C and collagen for brightening and all-day hydration.'],['- Dryness- Dullness and uneven texture- Loss of firmness and elasticity'], Truth Serum® is like a daily multivitamin for the skin. Ole Henriksen was an early adopter of vitamin C in skin care believing that its antioxidant properties and role in supporting natural collagen make it a crucial ingredient. Supercharged with True-C Complex™ and boosted with collagen this powerful antiaging serum helps brighten visibly firm and deliver all-day hydration. Enriched with orange and green tea extracts the fast-absorbing oil-free formula revives the complexion. Indulge in this facial serum's sweet energizing citrus scent and silky texture as it glides beautifully on the skin. The result? You see a healthier and more youthful-looking Ole Glow™.,"-True-C Complex: Formulated to help brighten the skin and fight visible signs of aging with stabilized vitamin C derivates and antioxidants.,-Collagen: Helps improve skin's youthful-looking elasticity.,-Orange and Green Tea Extracts: Help nourish skin.,-Aloe Juice: Helps soften and condition skin.,,Water, Sodium Ascorbyl Phosphate, Calcium Ascorbate, Sorbitol, Glycerin, Tocopheryl Acetate, Aloe Barbadensis Leaf Juice, Citrus Aurantium Dulcis (Orange) Fruit Extract, Camellia Sinensis Leaf Extract, Euphrasia Officinalis Extract, Rosa Canina Fruit Extract, Citrus Grandis (Grapefruit) Seed Extract, Oleth-20, Hydroxyethylcellulose, PEG-12 Dimethicone, Benzophenone-4, Sodium Hyaluronate, Thioctic Acid, Phenoxyethanol, Citric Acid, Caprylyl Glycol, Hexylene Glycol, Limonene, Linalool, Citral, Fragrance, Yellow 6.",https://www.sephora.com/product/truth-serum-P42343?icid2=you%20may%20also%20like:p42343:product
Algenist,POWER Advanced Wrinkle Fighter 360° Eye Serum,['An advanced antiaging eye serum formulated with alguronic acid and algaprotein to address the first signs of aging.'],['- Loss of firmness and elasticity- Dark circles- Fine lines and wrinkles'], This potent formula gives the upper eyelid a more lifted look diminishes the appearance of dark circles and visibly minimizes crow’s feet. The eye area is appears visibly smoother plumper and strengthened for a youthful and brighter appearance.,"['Water, Dimethicone, Isododecane, Glycerin, Butylene Glycol, Polysilicone-11, Isohexadecane, Pentylene Glycol, Algae Exopolysaccharides, Chlorella Protothecoides, Plantago Lanceolata Leaf Extract, Darutoside, Polygonum Bistorta Root Extract, Nannochloropsis Oculata Extract, Albizia Julibrissin Bark Extract, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, N-Hydroxysuccinimide, Chrysin, Mica, Adenosine, Ammonium Polyacryloyldimethyl Taurate, Polysorbate 20, Polysorbate 80, Pullulan, Tocopheryl Acetate, Steareth-20, Disodium EDTA, Chlorhexidine Digluconate, Citric Acid, Sodium Hydroxide, Xanthan Gum, Ethylhexylglycerin, Hexylene Glycol, Caprylyl Glycol, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol.']",https://www.sephora.com/product/power-advanced-wrinkle-fighter-360-eye-serum-P404169?icid2=you%20may%20also%20like:p404169:product
Algenist,GENIUS Liquid Collagen,A vegan collagen-based formula to maintain skin’s youthful vitality. ,['- Loss of firmness and elasticity- Dullness and uneven texture'],This breakthrough fountain of youth leverages a clean vegan formulation design to help replenish and preserve a healthy youthful skin matrix by delivering vegan collagen to the skin in its most active state. The anti-aging formula contains 13000 microalgae oil beads naturally sourced and sustainably produced omegas 3 6 and 9 and a natural source of vitamin E. Skin is left more resilient brighter and youthful-looking.   ,"-Patented Alguronic Acid: Clinically demonstrated to provide anti-aging and anti-wrinkle benefits.,-Microalgae Oil: Hydrates, nourishes, and visibly restores skin's radiance.,-Vegan Plant Collagen: Helps to strengthen and condition the skin to visibly improve resiliency and bounce.,-Collagen Amino Acids: Provides building blocks of protein to help support skin's matrix.,,Collagen, Water, Propanediol, Isononyl Isononanoate, Butylene Glycol, Glycerin, Betaine, Pentylene Glycol, Dextrin Palmitate, Collagen Amino Acids, Parachlorella Beijerinckii Exopolysaccharides, Chlorella Protothecoides Oil, Helichrysum Stoechas Extract, Cylindrotheca Fusiformis Extract, Niacinamide, Tocopherol, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Adenosine, Helianthus Annuus (Sunflower) Seed Oil, Leuconostoc/Radish Root Ferment Filtrate, Caprylic/Capric Triglyceride, Palmitic Acid, Disodium EDTA, Carbomer, Sodium Lactate, Amodimethicone, Homosalate, Polysorbate 20, Butyl Methoxydibenzoylmethane, 1,2-Hexanediol, Caprylyl Glycol, Octocrylene, Sodium Hydroxide, Phenoxyethanol, Fragrance (Parfum), Limonene, Beta-Carotene (CI 75130).",https://www.sephora.com/product/genius-liquid-collagen-P421277?icid2=you%20may%20also%20like:p421277:product
Algenist,GENIUS Ultimate Anti-Aging Eye Cream, An antiaging eye cream that visibly firms lifts combats fine lines and wrinkles brightens and nourishes the delicate eye area. ,['- Dark circles- Fine lines and wrinkles- Loss of elasticity'], The GENIUS Ultimate Anti-Aging Eye Cream is a potent antiaging blend of actives for brighter younger-looking eyes. Powered by alguronic acid plant collagen persian silk tree extract and kigelia africana fruit extract this creamy treatment visibly firms and lifts the upper eyelid improves elasticity and smooths fine lines and wrinkles around the eye area. The eyes are given a hydrated conditioned wide-eyed look. ,"-Alguronic Acid: Combats fine lines and wrinkles and brightens the skin as a scientifically tested, patented regenerative compound produced from microalgae.,-Microalgae Oil: Hydrates five times longer than untreated skin for up to 24 hours.,-Plant Collagen: Hydrates and conditions the skin as a vegetable source of collagen for a more youthful glow.,-Persian Silk Tree Extract: Creates a lifted appearance, targeting the upper eyelid as a naturally derived extract.,,Water, Caprylic/Capric Triglyceride, Glycerin, Butyrospermum Parkii (Shea) Butter, Hydrogenated Polyisobutene, Chlorella Protothecoides Oil, Dimethicone, Glyceryl Stearate, PEG-100 Stearate, Cetearyl Alcohol, Cetyl Alcohol, Pentylene Glycol, Silica, Algae Exopolysaccharides, Vegetable Collagen, Algae Extract, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Copper Lysine Prolinate, Methyl Glucoside Phosphate, Albiza Julibrissin Bark Extract, Kigelia Africana Fruit Extract, Plantago Lanceolata Leaf Extract, Chrysin, Darutoside, Sodium PCA, Leuconostoc/Radish Root Ferment Filtrate, Stearic Acid, Ceteareth-20, Caprylyl Glycol, Steareth-20, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Sodium Benzoate, Potassium Sorbate, Xanthan Gum, Chlorhexidine Digluconate, N-Hydroxysuccinimide, Chlorphenesin, Sodium Citrate, Disodium EDTA, Citric Acid, Sodium Hydroxide, Phenoxyethanol.",https://www.sephora.com/product/genius-ultimate-anti-aging-eye-cream-P388262?icid2=you%20may%20also%20like:p388262:product
Algenist,Hydrating Essence Toner,['An alcohol- and oil-free toner that replenishes and balances skin.'],[],[],"-Alguronic Acid: Helps create a more youthful appearance through a patented and powerful compound that demonstrates significant antiaging properties.,-Witch Hazel: Soothes and moisturizes.,-Chamomile: Replenishes and balances skin.,,Water, Butylene Glycol, Sodium PCA, Hamamelis Virginiana (Witch Hazel) Water, Algae Exopolysaccharides, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Ascorbyl Glucoside, Aloe Barbadensis Leaf Extract, Camellia Oleifera Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Verbena Officinalis Extract, Tocopheryl Acetate, Glycerin, 1,2-Hexanediol, Caprylyl Glycol, Carbomer, Polysorbate 20, Ethylhexyglycerin, Benzoic Acid, Disodium EDTA, Phenoxyethanol, Fragrance.",https://www.sephora.com/product/hydrating-essence-toner-P386910?icid2=you%20may%20also%20like:p386910:product
